,InvoiceYearMonth,UserType,Revenue
1,201101,Existing,195275.51
2,201101,New,156705.77000000002
3,201102,Existing,220994.63
4,201102,New,127859.0
5,201103,Existing,296350.03
6,201103,New,160567.84
7,201104,Existing,268226.66
8,201104,New,108517.751
9,201105,Existing,434725.86
10,201105,New,90847.49
11,201106,Existing,408030.06
12,201106,New,64479.19
13,201107,Existing,407693.61
14,201107,New,53453.991
15,201108,Existing,421388.93
16,201108,New,55619.48
17,201109,Existing,640861.901
18,201109,New,135667.941
19,201110,Existing,648837.6
20,201110,New,133940.28
21,201111,Existing,838955.91
22,201111,New,117153.75
